keys,es,en
ATK_CLIMB,TREPADA,CLIMB
ATK_EMP_PULSE,PULSO EMP,EMP PULSE
ATK_HEAD_LASER,LÁSER DE CABEZA,HEAD LASER
ATK_LEG_SWEEP,BARRIDO DE PATA,LEG SWEEP
ATK_POUNCE,EMBESTIDA,POUNCE
ATK_SHAKE_OFF,SACUDIDA,SHAKE OFF
ATK_SIEGE_BEAM,HAZ DE ASEDIO,SIEGE BEAM
ATK_STOMP,PISOTÓN,STOMP
ATK_WALK,MARCHA,WALK
AUD_CITY,Ciudad,City
AUD_ENEMIES,Enemigos,Enemies
AUD_MASTER,Volumen general,Master volume
AUD_MOTORS,Motores,Motors
AUD_MUSIC,Música,Music
AUD_MUTE,Silenciar todo,Mute all
AUD_SUBTITLE,Volumen general y por grupo de sonidos,Overall and per group volume
AUD_TITLE,Audio,Audio
AUD_UI,Interfaz,Interface
AUD_WEAPONS,Armas,Weapons
BOSS_PHASE_1,ASEDIO,SIEGE
BOSS_PHASE_2,ALERTA,ALERT
BOSS_PHASE_3,FURIA,FURY
BOSS_PHASE_4,VIENTRE,BELLY
BOSS_PHASE_5,AUTODESTRUCCIÓN,SELF-DESTRUCT
CAL_DONE,Calibración terminada,Calibration finished
CAL_HINT,Sostené la posición hasta que el paso se confirme solo.,Hold the position until the step confirms itself.
CAL_NEXT,Siguiente,Next
CAL_SAVE_ERROR,No se pudo guardar la calibración en el archivo de configuración.,Could not save the calibration data to the configuration file.
CAL_SKIP,Omitir,Skip
CAL_SKIPPED,No se guardó ningún eje: se omitieron todos los pasos.,No axis was saved: every step was skipped.
CAL_STEP_CENTER,Centrá los sticks,Center the sticks
CAL_STEP_CORNERS,Llevá los sticks a las esquinas,Move the sticks to the corners
CAL_STEP_PITCH_CENTER,Pitch al centro,Center pitch
CAL_STEP_PITCH_DOWN,Pitch abajo,Pitch down
CAL_STEP_PITCH_UP,Pitch arriba,Pitch up
CAL_STEP_ROLL_CENTER,Roll al centro,Center roll
CAL_STEP_ROLL_LEFT,Roll a la izquierda,Roll left
CAL_STEP_ROLL_RIGHT,Roll a la derecha,Roll right
CAL_STEP_THROTTLE_CENTER,Acelerador al centro,Center the throttle
CAL_STEP_THROTTLE_DOWN,Acelerador abajo,Throttle down
CAL_STEP_THROTTLE_UP,Acelerador arriba,Throttle up
CAL_STEP_YAW_CENTER,Yaw al centro,Center yaw
CAL_STEP_YAW_LEFT,Yaw a la izquierda,Yaw left
CAL_STEP_YAW_RIGHT,Yaw a la derecha,Yaw right
CAL_SUBTITLE,Catorce pasos para medir el recorrido real de tus sticks.,Fourteen steps to measure the real travel of your sticks.
CAL_SUCCESS,Calibración completa,Calibration successful
CAL_TITLE,Calibrando…,Calibrating…
CAL_TITLE_DEVICE,Calibrando %s…,Calibrating %s…
CAL_WRONG_DEVICE,Mové los ejes de %s.,Please move the axes of %s.
CTRL_ACTION_ALTITUDE_HOLD,Mantener altura,Altitude hold
CTRL_ACTION_ARM_HOLD,Armar (mantener),Arm (hold)
CTRL_ACTION_ARM_TOGGLE,Armar (alternar),Arm (toggle)
CTRL_ACTION_CHANGE_CAMERA,Cambiar cámara,Change camera
CTRL_ACTION_CYCLE_MODES,Cambiar modo de vuelo,Cycle flight modes
CTRL_ACTION_CYCLE_TARGET,Cambiar objetivo,Cycle target
CTRL_ACTION_FIRE,Disparar,Fire
CTRL_ACTION_FIRE_ALT,Disparo secundario,Alt fire
CTRL_ACTION_LOCK,Fijar objetivo,Lock target
CTRL_ACTION_MODE_ANGLE,Modo: Angle,Mode: Angle
CTRL_ACTION_MODE_HORIZON,Modo: Horizon,Mode: Horizon
CTRL_ACTION_MODE_LAUNCH,Modo: Control de lanzamiento,Mode: Launch control
CTRL_ACTION_MODE_POSITION,Modo: Posición,Mode: Position
CTRL_ACTION_MODE_SPEED,Modo: Speed,Mode: Speed
CTRL_ACTION_MODE_TURTLE,Modo: Tortuga,Mode: Turtle
CTRL_ACTION_OBJECTIVE_NEXT,Siguiente objetivo,Next objective
CTRL_ACTION_OBJECTIVE_SKIP,Omitir objetivo,Skip objective
CTRL_ACTION_RESPAWN,Reiniciar dron,Reset drone
CTRL_ACTIVE_CONTROLLER,MANDO ACTIVO,ACTIVE CONTROLLER
CTRL_AXES,EJES,AXES
CTRL_AXIS_N,Eje %d,Axis %d
CTRL_AXIS_PITCH,Pitch,Pitch
CTRL_AXIS_ROLL,Roll,Roll
CTRL_AXIS_THROTTLE,Acelerador,Throttle
CTRL_AXIS_YAW,Yaw,Yaw
CTRL_BINDINGS,ASIGNACIONES,BINDINGS
CTRL_BINDING_CAPTURED,Detectado. Confirmá para guardar la asignación.,Detected. Confirm to save the binding.
CTRL_BINDING_CLEARED,Sin asignar. Confirmá para quitar la asignación.,Unbound. Confirm to remove the binding.
CTRL_BINDING_HINT,"Elegí Escuchar y después pulsá el botón, el gatillo o el switch que quieras usar.","Choose Listen and then press the button, trigger or switch you want to use."
CTRL_BINDING_LISTENING,Pulsá un botón o mové un switch del mando.,Press a button or flip a switch on your controller.
CTRL_BOUND_AXIS,"Eje %d [%.2f, %.2f]","Axis %d [%.2f, %.2f]"
CTRL_BOUND_BUTTON,Botón %d,Button %d
CTRL_BUTTONS,BOTONES,BUTTONS
CTRL_BUTTON_N,Botón %d,Button %d
CTRL_CALIBRATE,Calibrar ejes,Calibrate axes
CTRL_CALIBRATED,Calibrado,Calibrated
CTRL_CALIBRATE_HINT,La calibración vive fuera del mapa de entrada: solo afina el vuelo.,Calibration lives outside the input map: it only fine-tunes flight.
CTRL_CLEAR,Quitar,Clear
CTRL_DEFAULT_CONTROLLER,Usar siempre este mando,Always use this controller
CTRL_DEVICE_SWITCH,Moviste otro mando. ¿Usar %s como mando activo?,You moved another controller. Use %s as the active controller?
CTRL_INVERT,Invertir,Invert
CTRL_LISTEN,Escuchar,Listen
CTRL_LISTEN_AGAIN,Detectar de nuevo,Listen again
CTRL_NO_CONTROLLER,No se encontró ningún mando,No controller found
CTRL_RANGE_HINT,Izquierda y derecha mueven la manija; aceptar cambia de manija.,Left and right move the handle; accept switches handles.
CTRL_RESET,Restablecer,Reset to defaults
CTRL_RESET_CONFIRM,¿Borrar la calibración y las asignaciones de este mando?,Erase the calibration and bindings of this controller?
CTRL_SECTION_ACTIONS,ACCIONES,ACTIONS
